market,regime,run,cap_bps,breach_rate,accepted,rejected,staleness_days,cumulative_return,annualised_return,annualised_vol,sharpe_rf0,max_drawdown,mean_turnover,exec_lending_bps,excess_bps
realised,hold,Agent 1: rule-based,7900,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,7900,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,8000,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,8000,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,8100,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,8100,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,8200,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,8200,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,8300,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,8300,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,8400,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,8400,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,8500,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,8500,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,8600,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,8600,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,8700,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,8700,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,8800,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,8800,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,8900,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,8900,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,9000,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,9000,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,9100,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,9100,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,9200,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,9200,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,9300,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,9300,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,9400,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,9400,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,9500,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,9500,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,9600,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,9600,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,9700,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,9700,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,9800,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,9800,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,9900,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,9900,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,10000,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,10000,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 2: mean-variance,5000,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,5000,1.0,136,0,0.0,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,hold,Agent 2: mean-variance,5100,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,5100,1.0,136,0,0.0,-0.030138,-0.078848,0.270606,-0.1655,0.191833,7.4e-05,5100,11.8
realised,hold,Agent 2: mean-variance,5200,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,5200,1.0,136,0,0.0,-0.02897,-0.075867,0.265081,-0.1626,0.18821,0.000147,5200,23.5
realised,hold,Agent 2: mean-variance,5300,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,5300,1.0,136,0,0.0,-0.027812,-0.072905,0.259555,-0.1596,0.184574,0.000221,5300,35.0
realised,hold,Agent 2: mean-variance,5400,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,5400,1.0,136,0,0.0,-0.026663,-0.069961,0.25403,-0.1564,0.180923,0.000294,5400,46.5
realised,hold,Agent 2: mean-variance,5500,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,5500,1.0,136,0,0.0,-0.025523,-0.067036,0.248505,-0.153,0.177258,0.000368,5500,57.9
realised,hold,Agent 2: mean-variance,5600,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,5600,1.0,136,0,0.0,-0.024393,-0.064131,0.24298,-0.1495,0.173579,0.000441,5600,69.2
realised,hold,Agent 2: mean-variance,5700,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,5700,1.0,136,0,0.0,-0.023273,-0.061244,0.237455,-0.1458,0.169885,0.000515,5700,80.4
realised,hold,Agent 2: mean-variance,5800,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,5800,1.0,136,0,0.0,-0.022163,-0.058378,0.23193,-0.142,0.166177,0.000588,5800,91.5
realised,hold,Agent 2: mean-variance,5900,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,5900,1.0,136,0,0.0,-0.021063,-0.055531,0.226405,-0.1379,0.162455,0.000662,5900,102.5
realised,hold,Agent 2: mean-variance,6000,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,6000,1.0,136,0,0.0,-0.019972,-0.052704,0.22088,-0.1336,0.158718,0.000735,6000,113.4
realised,hold,Agent 2: mean-variance,6100,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,6100,1.0,136,0,0.0,-0.018891,-0.049897,0.215355,-0.1291,0.154966,0.000809,6100,124.3
realised,hold,Agent 2: mean-variance,6200,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,6200,1.0,136,0,0.0,-0.01782,-0.047111,0.20983,-0.1243,0.1512,0.000882,6200,135.0
realised,hold,Agent 2: mean-variance,6300,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,6300,1.0,136,0,0.0,-0.016759,-0.044346,0.204304,-0.1192,0.147419,0.000956,6300,145.6
realised,hold,Agent 2: mean-variance,6400,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,6400,1.0,136,0,0.0,-0.015708,-0.041602,0.198779,-0.1139,0.143624,0.001029,6400,156.1
realised,hold,Agent 2: mean-variance,6500,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,6500,1.0,136,0,0.0,-0.014667,-0.038879,0.193254,-0.1082,0.139814,0.001103,6500,166.5
realised,hold,Agent 2: mean-variance,6600,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,6600,1.0,136,0,0.0,-0.013636,-0.036177,0.187729,-0.1022,0.135989,0.001176,6600,176.8
realised,hold,Agent 2: mean-variance,6700,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,6700,1.0,136,0,0.0,-0.012615,-0.033497,0.182204,-0.0958,0.132149,0.00125,6700,187.0
realised,hold,Agent 2: mean-variance,6800,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,6800,1.0,136,0,0.0,-0.011604,-0.030839,0.17668,-0.089,0.128294,0.001324,6800,197.1
realised,hold,Agent 2: mean-variance,6900,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,6900,1.0,136,0,0.0,-0.010603,-0.028203,0.171155,-0.0817,0.124425,0.001397,6900,207.1
realised,hold,Agent 2: mean-variance,7000,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,7000,1.0,136,0,0.0,-0.009612,-0.025589,0.16563,-0.0739,0.12054,0.001471,7000,217.0
realised,hold,Agent 2: mean-variance,7100,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,7100,1.0,136,0,0.0,-0.008632,-0.022998,0.160105,-0.0656,0.116641,0.001544,7100,226.8
realised,hold,Agent 2: mean-variance,7200,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,7200,1.0,136,0,0.0,-0.007662,-0.02043,0.15458,-0.0566,0.112726,0.001618,7200,236.5
realised,hold,Agent 2: mean-variance,7300,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,7300,1.0,136,0,0.0,-0.006702,-0.017885,0.149055,-0.047,0.108796,0.001691,7300,246.1
realised,hold,Agent 2: mean-variance,7400,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,7400,1.0,136,0,0.0,-0.005752,-0.015362,0.143531,-0.0366,0.104851,0.001765,7400,255.6
realised,hold,Agent 2: mean-variance,7500,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,7500,1.0,136,0,0.0,-0.004812,-0.012864,0.138006,-0.0253,0.100891,0.001838,7500,265.0
realised,hold,Agent 2: mean-variance,7600,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,7600,1.0,136,0,0.0,-0.003883,-0.010388,0.132481,-0.0131,0.096915,0.001912,7600,274.3
realised,hold,Agent 2: mean-variance,7700,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,7700,1.0,136,0,0.0,-0.002965,-0.007937,0.126957,0.0002,0.092925,0.001985,7700,283.5
realised,hold,Agent 2: mean-variance,7800,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,7800,1.0,136,0,0.0,-0.002056,-0.00551,0.121432,0.0147,0.088918,0.002059,7800,292.6
realised,hold,Agent 2: mean-variance,7900,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,7900,1.0,136,0,0.0,-0.001159,-0.003107,0.115908,0.0307,0.084897,0.002132,7900,301.6
realised,hold,Agent 2: mean-variance,8000,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,8000,1.0,136,0,0.0,-0.000271,-0.000728,0.110383,0.0483,0.08086,0.002206,8000,310.5
realised,hold,Agent 2: mean-variance,8100,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,8100,1.0,136,0,0.0,0.000606,0.001626,0.104859,0.0677,0.076807,0.002279,8100,319.2
realised,hold,Agent 2: mean-variance,8200,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,8200,1.0,136,0,0.0,0.001472,0.003955,0.099335,0.0894,0.072739,0.002353,8200,327.9
realised,hold,Agent 2: mean-variance,8300,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,8300,1.0,136,0,0.0,0.002328,0.006259,0.093811,0.1137,0.068655,0.002426,8300,336.4
realised,hold,Agent 2: mean-variance,8400,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,8400,1.0,136,0,0.0,0.003173,0.008538,0.088287,0.141,0.064555,0.0025,8400,344.9
realised,hold,Agent 2: mean-variance,8500,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,8500,1.0,136,0,0.0,0.004007,0.010792,0.082764,0.172,0.06044,0.002574,8500,353.2
realised,hold,Agent 2: mean-variance,8600,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,8600,1.0,136,0,0.0,0.004831,0.013019,0.07724,0.2074,0.056309,0.002647,8600,361.5
realised,hold,Agent 2: mean-variance,8700,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,8700,1.0,136,0,0.0,0.005645,0.015221,0.071717,0.2484,0.052162,0.002721,8700,369.6
realised,hold,Agent 2: mean-variance,8800,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,8800,1.0,136,0,0.0,0.006447,0.017397,0.066195,0.2963,0.047999,0.002794,8800,377.6
realised,hold,Agent 2: mean-variance,8900,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,8900,1.0,136,0,0.0,0.007239,0.019547,0.060673,0.3529,0.04382,0.002868,8900,385.6
realised,hold,Agent 2: mean-variance,9000,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,9000,1.0,136,0,0.0,0.00802,0.02167,0.055151,0.4209,0.039625,0.002941,9000,393.4
realised,hold,Agent 2: mean-variance,9100,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,9100,1.0,136,0,0.0,0.00879,0.023767,0.04963,0.5041,0.035414,0.003015,9100,401.1
realised,hold,Agent 2: mean-variance,9200,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,9200,1.0,136,0,0.0,0.00955,0.025837,0.044111,0.6082,0.031187,0.003088,9200,408.7
realised,hold,Agent 2: mean-variance,9300,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 2: mean-variance,9300,1.0,136,0,0.0,0.010299,0.02788,0.038593,0.7421,0.026944,0.003162,9300,416.2
realised,hold,Agent 2: mean-variance,9400,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
